/home/upphill/Documents/DD2424/Assignmentsw/Assignment2/cifar10-twolayer-classifer/cifar10-twolayer-classifer/bonus/main.py:16: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  batch = pickle.load(fo, encoding='bytes')
-- Gradient check (lam=0) --
  Layer 1 W: abs=2.78e-17 rel=4.22e-16
  Layer 1 b: abs=1.39e-17 rel=3.20e-16
  Layer 2 W: abs=2.22e-16 rel=1.44e-16
  Layer 2 b: abs=1.11e-16 rel=9.69e-17

-- Overfit sanity check (100 examples, lam=0) --
  step  360/3600 | loss: 1.6459/1.6928 | acc: 0.4259/0.4134 | eta: 0.040006
  step  540/3600 | loss: 1.6371/1.6899 | acc: 0.4178/0.4004 | eta: 0.060004
  step  720/3600 | loss: 1.6103/1.6695 | acc: 0.4248/0.4044 | eta: 0.080002
  step  900/3600 | loss: 1.5343/1.5815 | acc: 0.4593/0.4370 | eta: 0.100000
  step 1080/3600 | loss: 1.5232/1.5666 | acc: 0.4643/0.4470 | eta: 0.080002
  step 1260/3600 | loss: 1.4577/1.5167 | acc: 0.4911/0.4690 | eta: 0.060004
  step 1440/3600 | loss: 1.4199/1.4822 | acc: 0.5018/0.4782 | eta: 0.040006
  step 1620/3600 | loss: 1.3772/1.4458 | acc: 0.5232/0.4962 | eta: 0.020008
  step 1800/3600 | loss: 1.3573/1.4295 | acc: 0.5309/0.5014 | eta: 0.000010
  step 1980/3600 | loss: 1.3652/1.4423 | acc: 0.5263/0.4930 | eta: 0.020008
  step 2160/3600 | loss: 1.3871/1.4642 | acc: 0.5162/0.4872 | eta: 0.040006
  step 2340/3600 | loss: 1.4168/1.4924 | acc: 0.5032/0.4736 | eta: 0.060004
  step 2520/3600 | loss: 1.5218/1.5788 | acc: 0.4691/0.4544 | eta: 0.080002
  step 2700/3600 | loss: 1.5222/1.5935 | acc: 0.4572/0.4404 | eta: 0.100000
  step 2880/3600 | loss: 1.4861/1.5424 | acc: 0.4731/0.4492 | eta: 0.080002
  step 3060/3600 | loss: 1.4088/1.4923 | acc: 0.5074/0.4792 | eta: 0.060004
  step 3240/3600 | loss: 1.3628/1.4447 | acc: 0.5231/0.4914 | eta: 0.040006
  step 3420/3600 | loss: 1.3273/1.4113 | acc: 0.5372/0.5034 | eta: 0.020008
  lam=7.20e-03 | best val acc: 50.34% | final val acc: 50.34%

  lam=2.68e-02
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.8025/1.8259 | acc: 0.3708/0.3642 | eta: 0.020008
  step  360/3600 | loss: 1.6933/1.7198 | acc: 0.4054/0.3934 | eta: 0.040006
  step  540/3600 | loss: 1.6266/1.6624 | acc: 0.4372/0.4236 | eta: 0.060004
  step  720/3600 | loss: 1.6350/1.6547 | acc: 0.4361/0.4318 | eta: 0.080002
  step  900/3600 | loss: 1.6419/1.6676 | acc: 0.4188/0.3996 | eta: 0.100000
  step 1080/3600 | loss: 1.5983/1.6285 | acc: 0.4424/0.4328 | eta: 0.080002
  step 1260/3600 | loss: 1.5912/1.6120 | acc: 0.4401/0.4366 | eta: 0.060004
  step 1440/3600 | loss: 1.5609/1.5883 | acc: 0.4595/0.4426 | eta: 0.040006
  step 1620/3600 | loss: 1.5279/1.5581 | acc: 0.4738/0.4646 | eta: 0.020008
  step 1800/3600 | loss: 1.5148/1.5445 | acc: 0.4777/0.4634 | eta: 0.000010
  step 1980/3600 | loss: 1.5204/1.5559 | acc: 0.4752/0.4630 | eta: 0.020008
  step 2160/3600 | loss: 1.5355/1.5670 | acc: 0.4718/0.4564 | eta: 0.040006
  step 2340/3600 | loss: 1.5425/1.5677 | acc: 0.4593/0.4490 | eta: 0.060004
  step 2520/3600 | loss: 1.6415/1.6709 | acc: 0.4276/0.4186 | eta: 0.080002
  step 2700/3600 | loss: 1.6069/1.6384 | acc: 0.4455/0.4250 | eta: 0.100000
  step 2880/3600 | loss: 1.6117/1.6374 | acc: 0.4280/0.4230 | eta: 0.080002
  step 3060/3600 | loss: 1.5643/1.5880 | acc: 0.4548/0.4378 | eta: 0.060004
  step 3240/3600 | loss: 1.5420/1.5701 | acc: 0.4582/0.4482 | eta: 0.040006
  step 3420/3600 | loss: 1.5040/1.5340 | acc: 0.4858/0.4734 | eta: 0.020008
  lam=2.68e-02 | best val acc: 47.34% | final val acc: 47.34%

  lam=1.00e-01
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.8326/1.8487 | acc: 0.3668/0.3498 | eta: 0.020008
  step  360/3600 | loss: 1.7994/1.8150 | acc: 0.3836/0.3772 | eta: 0.040006
  step  540/3600 | loss: 1.8073/1.8180 | acc: 0.3718/0.3688 | eta: 0.060004
  step  720/3600 | loss: 1.8317/1.8447 | acc: 0.3594/0.3506 | eta: 0.080002
  step  900/3600 | loss: 1.8384/1.8567 | acc: 0.3453/0.3420 | eta: 0.100000
  step 1080/3600 | loss: 1.8154/1.8268 | acc: 0.3677/0.3592 | eta: 0.080002
  step 1260/3600 | loss: 1.8076/1.8208 | acc: 0.3714/0.3648 | eta: 0.060004
  step 1440/3600 | loss: 1.7983/1.8135 | acc: 0.3675/0.3610 | eta: 0.040006
  step 1620/3600 | loss: 1.7879/1.8016 | acc: 0.3842/0.3746 | eta: 0.020008
  step 1800/3600 | loss: 1.7774/1.7889 | acc: 0.3869/0.3804 | eta: 0.000010
  step 1980/3600 | loss: 1.7812/1.7948 | acc: 0.3829/0.3742 | eta: 0.020008
  step 2160/3600 | loss: 1.7869/1.7985 | acc: 0.3888/0.3824 | eta: 0.040006
  step 2340/3600 | loss: 1.7930/1.8012 | acc: 0.3696/0.3620 | eta: 0.060004
  step 2520/3600 | loss: 1.8174/1.8255 | acc: 0.3588/0.3524 | eta: 0.080002
  step 2700/3600 | loss: 1.8298/1.8414 | acc: 0.3483/0.3400 | eta: 0.100000
  step 2880/3600 | loss: 1.8074/1.8166 | acc: 0.3763/0.3724 | eta: 0.080002
  step 3060/3600 | loss: 1.8015/1.8140 | acc: 0.3676/0.3664 | eta: 0.060004
  step 3240/3600 | loss: 1.7911/1.8058 | acc: 0.3700/0.3622 | eta: 0.040006
  step 3420/3600 | loss: 1.7792/1.7896 | acc: 0.3821/0.3754 | eta: 0.020008
  lam=1.00e-01 | best val acc: 38.24% | final val acc: 37.54%

-- Coarse search summary --
  lam=1.00e-05 | best=50.70% | final=50.64%
  lam=3.73e-05 | best=51.70% | final=51.70%
  lam=1.39e-04 | best=50.88% | final=50.88%
  lam=5.18e-04 | best=51.22% | final=51.22%
  lam=1.93e-03 | best=51.04% | final=51.04%
  lam=7.20e-03 | best=50.34% | final=50.34%
  lam=2.68e-02 | best=47.34% | final=47.34%
  lam=1.00e-01 | best=38.24% | final=37.54%

-- Fine lambda search --

  lam=5.01e-04
  step    0/2000 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  100/2000 | loss: 1.8860/1.9059 | acc: 0.3328/0.3310 | eta: 0.020008
  step  200/2000 | loss: 1.7609/1.8093 | acc: 0.3827/0.3686 | eta: 0.040006
