/home/upphill/Documents/DD2424/Assignmentsw/Assignment2/cifar10-twolayer-classifer/cifar10-twolayer-classifer/src/main.py:11: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  batch = pickle.load(fo, encoding='bytes')
-- Gradient check (lam=0) --
  Layer 1 W: abs=2.78e-17 rel=4.22e-16
  Layer 1 b: abs=1.39e-17 rel=3.20e-16
  Layer 2 W: abs=2.22e-16 rel=1.44e-16
  Layer 2 b: abs=1.11e-16 rel=9.69e-17

-- Overfit sanity check (100 examples, lam=0) --
  step 3060/3600 | loss: 1.4156/1.4789 | acc: 0.5072/0.4738 | eta: 0.060004
  step 3240/3600 | loss: 1.3706/1.4395 | acc: 0.5169/0.4894 | eta: 0.040006
  step 3420/3600 | loss: 1.3198/1.4016 | acc: 0.5457/0.5124 | eta: 0.020008
  lam=7.20e-03 | best val acc: 51.24% | final val acc: 51.24%

  lam=2.68e-02
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.8056/1.8348 | acc: 0.3691/0.3628 | eta: 0.020008
  step  360/3600 | loss: 1.6995/1.7344 | acc: 0.3925/0.3840 | eta: 0.040006
  step  540/3600 | loss: 1.6350/1.6629 | acc: 0.4242/0.4072 | eta: 0.060004
  step  720/3600 | loss: 1.6467/1.6816 | acc: 0.4158/0.4012 | eta: 0.080002
  step  900/3600 | loss: 1.6513/1.6837 | acc: 0.4190/0.4118 | eta: 0.100000
  step 1080/3600 | loss: 1.6232/1.6387 | acc: 0.4244/0.4182 | eta: 0.080002
  step 1260/3600 | loss: 1.5785/1.6054 | acc: 0.4487/0.4386 | eta: 0.060004
  step 1440/3600 | loss: 1.5476/1.5781 | acc: 0.4614/0.4436 | eta: 0.040006
  step 1620/3600 | loss: 1.5267/1.5606 | acc: 0.4703/0.4580 | eta: 0.020008
  step 1800/3600 | loss: 1.5120/1.5437 | acc: 0.4788/0.4640 | eta: 0.000010
  step 1980/3600 | loss: 1.5209/1.5522 | acc: 0.4775/0.4610 | eta: 0.020008
  step 2160/3600 | loss: 1.5289/1.5610 | acc: 0.4703/0.4564 | eta: 0.040006
  step 2340/3600 | loss: 1.5667/1.5936 | acc: 0.4487/0.4416 | eta: 0.060004
  step 2520/3600 | loss: 1.5761/1.6107 | acc: 0.4417/0.4344 | eta: 0.080002
  step 2700/3600 | loss: 1.5988/1.6298 | acc: 0.4358/0.4250 | eta: 0.100000
  step 2880/3600 | loss: 1.6395/1.6690 | acc: 0.4096/0.3990 | eta: 0.080002
  step 3060/3600 | loss: 1.5646/1.5945 | acc: 0.4508/0.4374 | eta: 0.060004
  step 3240/3600 | loss: 1.5282/1.5576 | acc: 0.4745/0.4644 | eta: 0.040006
  step 3420/3600 | loss: 1.5004/1.5324 | acc: 0.4809/0.4696 | eta: 0.020008
  lam=2.68e-02 | best val acc: 46.96% | final val acc: 46.96%

  lam=1.00e-01
  step    0/3600 | loss: 2.4711/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.8321/1.8450 | acc: 0.3690/0.3586 | eta: 0.020008
  step  360/3600 | loss: 1.8046/1.8184 | acc: 0.3745/0.3738 | eta: 0.040006
  step  540/3600 | loss: 1.8162/1.8314 | acc: 0.3724/0.3606 | eta: 0.060004
  step  720/3600 | loss: 1.8160/1.8222 | acc: 0.3673/0.3606 | eta: 0.080002
  step  900/3600 | loss: 1.8360/1.8509 | acc: 0.3578/0.3512 | eta: 0.100000
  step 1080/3600 | loss: 1.8216/1.8315 | acc: 0.3650/0.3666 | eta: 0.080002
  step 1260/3600 | loss: 1.8153/1.8293 | acc: 0.3723/0.3602 | eta: 0.060004
  step 1440/3600 | loss: 1.7926/1.8017 | acc: 0.3796/0.3760 | eta: 0.040006
